Similitud de la palabra "maquinaria"

Raw_Frequency              | Relative_Frequency         | Sublineal                  | IDF_BM25                   | 
adolfo              : 0.178| millonarios         : 0.177| rodriguez           : 0.178| orti                : 0.177| 
brutas              : 0.178| rebeliones          : 0.176| agustin             : 0.178| pilar               : 0.177| 
caen                : 0.178| gasca               : 0.176| trejo               : 0.178| irma                : 0.177| 
reservas            : 0.178| agustin             : 0.176| pilar               : 0.178| sanchez             : 0.177| 
trejo               : 0.178| rodriguez           : 0.176| irma                : 0.178| venegas             : 0.177| 
rodriguez           : 0.178| trejo               : 0.176| orti                : 0.178| adolfo              : 0.177| 
agustin             : 0.178| brutas              : 0.176| acosta              : 0.178| trejo               : 0.177| 
alejandra           : 0.177| reservas            : 0.176| becerra             : 0.178| agustin             : 0.177| 
lisandro            : 0.177| caen                : 0.176| jeanette            : 0.178| rodriguez           : 0.177| 
maricarmen          : 0.177| irma                : 0.176| caen                : 0.178| acosta              : 0.177| 
errante             : 0.177| pilar               : 0.176| reservas            : 0.178| becerra             : 0.177| 
mari                : 0.177| orti                : 0.176| brutas              : 0.178| jeanette            : 0.177| 
marcela             : 0.177| adolfo              : 0.176| ortopédico          : 0.177| perezrul            : 0.176| 
otero               : 0.177| venegas             : 0.176| derechista          : 0.177| inmolaría           : 0.176| 
cortes              : 0.177| sanchez             : 0.176| rendimientos        : 0.177| acotada             : 0.176| 
riesgos             : 0.177| jeanette            : 0.176| coccioli            : 0.177| nidia               : 0.176| 
matías              : 0.177| becerra             : 0.176| labra               : 0.177| otero               : 0.176| 
coccioli            : 0.177| acosta              : 0.176| investigaran        : 0.177| maricarmen          : 0.176| 
trompo              : 0.177| obedecer            : 0.176| diferenciación      : 0.177| matías              : 0.176| 
intervencion        : 0.177| cortes              : 0.176| policia             : 0.177| alejandra           : 0.176| 
notas               : 0.177| mercados            : 0.176| matías              : 0.177| investigaran        : 0.176| 
mayorga             : 0.177| coccioli            : 0.176| inmolaría           : 0.177| errante             : 0.176| 
charro              : 0.177| riesgos             : 0.176| intervencion        : 0.177| cortes              : 0.176| 
populismo           : 0.177| otero               : 0.176| notas               : 0.177| mayorga             : 0.176| 
labra               : 0.177| estrellas           : 0.176| marcela             : 0.177| rubi                : 0.176| 
derechista          : 0.177| distrae             : 0.176| mercados            : 0.177| uña                 : 0.176| 
inmolaría           : 0.177| errante             : 0.176| cortes              : 0.177| riesgos             : 0.176| 
rendimientos        : 0.177| uña                 : 0.176| maricarmen          : 0.177| mercados            : 0.176| 
penuria             : 0.177| matías              : 0.176| penuria             : 0.177| penuria             : 0.176| 
estrellas           : 0.177| marcela             : 0.176| nidia               : 0.177| mari                : 0.176| 
rubi                : 0.177| investigaran        : 0.176| mari                : 0.177| intervencion        : 0.176| 
armando             : 0.177| populismo           : 0.176| trompo              : 0.177| charro              : 0.176| 
cortas              : 0.177| labra               : 0.176| armando             : 0.177| armando             : 0.176| 
diferenciación      : 0.177| armando             : 0.176| rubi                : 0.177| distrae             : 0.176| 
nidia               : 0.177| inmolaría           : 0.176| otero               : 0.177| derechista          : 0.176| 
policia             : 0.177| maricarmen          : 0.176| cortas              : 0.177| cortas              : 0.176| 
mercados            : 0.177| alejandra           : 0.176| uña                 : 0.177| policia             : 0.176| 
uña                 : 0.177| lisandro            : 0.176| populismo           : 0.177| coccioli            : 0.176| 
carlo               : 0.177| rubi                : 0.176| estrellas           : 0.177| marcela             : 0.176| 
distrae             : 0.177| carlo               : 0.176| errante             : 0.177| labra               : 0.176| 
investigaran        : 0.177| nidia               : 0.176| riesgos             : 0.177| diferenciación      : 0.176| 
acotada             : 0.177| acotada             : 0.176| lisandro            : 0.177| rendimientos        : 0.176| 
aguas               : 0.177| derechista          : 0.176| acotada             : 0.177| estrellas           : 0.176| 
chequera            : 0.177| charro              : 0.176| carlo               : 0.177| lisandro            : 0.176| 
columpio            : 0.177| mayorga             : 0.176| charro              : 0.177| notas               : 0.176| 
continuará          : 0.177| policia             : 0.176| distrae             : 0.177| carlo               : 0.176| 
corresponsalía      : 0.177| penuria             : 0.176| mayorga             : 0.177| populismo           : 0.176| 
epigrama            : 0.177| mari                : 0.176| alejandra           : 0.177| trompo              : 0.176| 
golpes              : 0.177| notas               : 0.176| aguas               : 0.177| aguas               : 0.176| 
gusto               : 0.177| cortas              : 0.176| chequera            : 0.177| chequera            : 0.176| 
parlamentarios      : 0.177| diferenciación      : 0.176| columpio            : 0.177| columpio            : 0.176| 
pregunto            : 0.177| rendimientos        : 0.176| continuará          : 0.177| continuará          : 0.176| 
victima             : 0.177| trompo              : 0.176| corresponsalía      : 0.177| corresponsalía      : 0.176| 
perezrul            : 0.177| intervencion        : 0.176| epigrama            : 0.177| epigrama            : 0.176| 
confesar            : 0.177| chequera            : 0.176| golpes              : 0.177| golpes              : 0.176| 
ronald              : 0.177| columpio            : 0.176| gusto               : 0.177| gusto               : 0.176| 
gasca               : 0.177| continuará          : 0.176| parlamentarios      : 0.177| parlamentarios      : 0.176| 
empresas            : 0.177| corresponsalía      : 0.176| pregunto            : 0.177| pregunto            : 0.176| 
asaltos             : 0.177| epigrama            : 0.176| victima             : 0.177| victima             : 0.176| 
extensísimo         : 0.177| golpes              : 0.176| perezrul            : 0.177| pablo               : 0.176| 
consignan           : 0.177| gusto               : 0.176| martinez            : 0.177| institucional       : 0.176| 
galopina            : 0.176| parlamentarios      : 0.176| pablo               : 0.177| prioridad           : 0.176| 
patricia            : 0.176| pregunto            : 0.176| piden               : 0.176| bombardear          : 0.176| 
manjarrez           : 0.176| victima             : 0.176| testigos            : 0.176| computarizado       : 0.175| 
cuota               : 0.176| aguas               : 0.176| invalidar           : 0.176| bombas              : 0.175| 
